#{"t_start": 1702104075.460168, "env_id": "None"}
r,l,t
2090.0,52,27.861643
940.0,168,27.893061
990.0,373,27.945459
750.0,119,27.971261
2180.0,105,27.994488
2190.0,98,28.016985
1030.0,149,28.044844
2600.0,207,28.078205
2360.0,161,28.365411
2330.0,184,28.398947
2260.0,181,28.430492
840.0,108,28.454727
1100.0,132,28.480874
2230.0,100,28.502903
2100.0,95,28.524349
3220.0,614,28.598471
1110.0,183,28.629512
2120.0,107,28.653213
2040.0,45,28.670246
2110.0,138,28.70238
940.0,184,29.01864
2150.0,110,29.045631
980.0,56,29.066139
1020.0,72,29.088747
1020.0,126,29.11955
1120.0,258,29.161834
1100.0,78,29.183893
1100.0,90,29.206929
1150.0,129,29.232756
2050.0,38,29.249115
2080.0,147,29.277222
1090.0,95,29.298961
970.0,201,29.331342
2130.0,364,29.380351
2210.0,138,29.408476
1110.0,87,29.701315
930.0,201,29.739608
3010.0,43,29.758585
3090.0,207,29.795949
2030.0,146,29.82428
1060.0,30,29.839316
3420.0,266,29.880637
1040.0,200,29.912802
2020.0,209,29.945561
2140.0,161,29.973345
950.0,281,30.013957
1050.0,175,30.043711
2090.0,82,30.06353
1070.0,117,30.344679
3220.0,252,30.38454
890.0,113,30.408209
1170.0,281,30.448376
1930.0,94,30.46959
1870.0,98,30.490978
980.0,204,30.523084
1100.0,84,30.543263
3320.0,458,30.600749
2110.0,100,30.62592
1130.0,45,30.643939
2080.0,235,30.685362
1020.0,174,30.988911
1980.0,109,31.016214
2100.0,211,31.055331
1200.0,42,31.074749
2250.0,276,31.120635
2490.0,148,31.152124
2430.0,268,31.192664
2230.0,82,31.213397
1050.0,157,31.243463
1190.0,197,31.275272
3060.0,126,31.299648
1160.0,76,31.318873
1050.0,173,31.348452
1100.0,80,31.632291
2290.0,262,31.677906
2260.0,93,31.703079
2020.0,143,31.734413
1060.0,160,31.767338
1070.0,65,31.788531
1020.0,138,31.817284
2430.0,234,31.85384
2120.0,353,31.902259
2060.0,31,31.917975
2110.0,82,31.940402
980.0,90,31.961308
1110.0,103,31.983303
3440.0,186,32.013668
980.0,80,32.288033
1970.0,124,32.314505
1170.0,145,32.341027
1150.0,245,32.377552
980.0,54,32.398906
1140.0,214,32.433659
1920.0,149,32.460747
2030.0,222,32.495411
2340.0,361,32.543851
4920.0,291,32.584939
2050.0,62,32.603563
2080.0,93,32.625131
1930.0,208,32.909094
1980.0,55,32.928357
1870.0,80,32.94943
2400.0,185,32.979696
1030.0,77,32.999247
2360.0,217,33.033264
2120.0,111,33.056275
950.0,49,33.072799
960.0,74,33.09347
3190.0,187,33.124983
2280.0,195,33.156569
1130.0,31,33.171388
1070.0,71,33.193616
2040.0,327,33.239029
1120.0,224,33.273671
1170.0,77,33.545706
2080.0,231,33.582733
3310.0,279,33.622888
2150.0,204,33.656354
2160.0,213,33.689929
2360.0,235,33.725833
790.0,37,33.741502
2010.0,34,33.756906
1010.0,151,33.784616
950.0,89,33.809375
1120.0,48,33.830215
2010.0,396,33.887515
2070.0,222,34.190062
1050.0,139,34.221113
2290.0,190,34.257556
3440.0,166,34.290194
1120.0,66,34.311995
1100.0,80,34.334578
2090.0,74,34.357515
2220.0,217,34.391593
1130.0,107,34.414902
3220.0,682,34.499801
2220.0,169,34.78542
1130.0,59,34.805339
2080.0,87,34.828167
2070.0,126,34.852576
980.0,78,34.872562
750.0,131,34.899243
2370.0,132,34.924595
2040.0,95,34.945932
890.0,69,34.96456
1150.0,155,34.993255
2400.0,127,35.018237
2160.0,173,35.047706
1960.0,387,35.099149
750.0,115,35.122983
2120.0,103,35.145109
1010.0,27,35.159538
1120.0,132,35.188599
2100.0,77,35.479353
2050.0,80,35.505622
3560.0,378,35.566271
1880.0,89,35.592998
3470.0,665,35.681877
2000.0,59,35.70256
990.0,49,35.721156
1150.0,29,35.738835
1020.0,72,35.760777
1980.0,15,35.7748
3430.0,373,35.830406
2110.0,60,35.849603
3790.0,289,36.160022
1030.0,67,36.184114
1980.0,63,36.207222
1210.0,83,36.230263
2040.0,157,36.260704
1040.0,106,36.284513
2120.0,269,36.32433
1980.0,39,36.340406
1040.0,206,36.374934
2060.0,49,36.392616
3460.0,316,36.445078
2130.0,168,36.47889
2040.0,95,36.504118
1970.0,84,36.526964
2140.0,133,36.555131
1120.0,206,36.846391
2110.0,162,36.878432
1110.0,79,36.899775
2070.0,184,36.931964
2140.0,179,36.967273
2060.0,113,36.996111
2340.0,211,37.034494
1100.0,46,37.053015
1140.0,60,37.073159
1150.0,51,37.091077
1100.0,122,37.119893
2080.0,219,37.158144
3270.0,109,37.18248
2220.0,141,37.209171
2180.0,111,37.232906
3230.0,253,37.526564
1080.0,88,37.549894
2060.0,171,37.579593
2120.0,87,37.600558
1050.0,39,37.616483
2080.0,29,37.631114
780.0,124,37.657476
2100.0,65,37.6763
2140.0,59,37.694601
2050.0,42,37.711331
2200.0,147,37.739551
2070.0,50,37.757078
2090.0,230,37.794225
1960.0,65,37.813613
1930.0,22,37.832607
1100.0,48,37.855396
970.0,75,37.877842
1140.0,146,37.908351
1090.0,103,37.933601
2310.0,260,37.974302
930.0,37,37.991447
2080.0,79,38.26634
970.0,85,38.289457
1040.0,172,38.320328
3240.0,134,38.346262
1050.0,137,38.372203
970.0,101,38.39507
1950.0,50,38.412258
970.0,61,38.43078
2270.0,232,38.467667
2060.0,89,38.488844
1980.0,41,38.506172
3250.0,133,38.533601
2040.0,165,38.562497
2020.0,305,38.605825
2230.0,258,38.644097
3390.0,109,38.921467
3250.0,87,38.948623
2140.0,253,38.987571
2140.0,219,39.022483
2380.0,131,39.048163
1150.0,93,39.069677
3380.0,132,39.09487
1150.0,53,39.112235
5600.0,196,39.144669
4720.0,273,39.184832
2000.0,127,39.209677
2270.0,142,39.236179
2210.0,112,39.259431
2150.0,152,39.286713
2170.0,84,39.560927
1000.0,44,39.57952
1040.0,84,39.603297
2100.0,151,39.630357
2220.0,241,39.666943
2100.0,211,39.700399
900.0,96,39.722199
2040.0,173,39.751466
2170.0,226,39.78641
2190.0,136,39.812051
1030.0,55,39.829309
3160.0,306,39.875049
1220.0,74,39.895004
1050.0,97,39.917012
2480.0,209,40.20261
950.0,95,40.226231
2170.0,68,40.24519
2300.0,279,40.287241
2150.0,110,40.312039
2050.0,122,40.336881
3120.0,198,40.372131
1020.0,76,40.392682
2140.0,61,40.414211
970.0,49,40.431948
1220.0,60,40.451248
2140.0,93,40.473663
1060.0,66,40.492369
2090.0,182,40.522703
2140.0,145,40.549424
2120.0,45,40.566445
2000.0,129,40.592158
1150.0,45,40.608579
2070.0,82,40.628614
1060.0,226,40.918535
910.0,145,40.947558
2220.0,99,40.96993
2120.0,85,40.990875
3190.0,171,41.020448
1070.0,187,41.05163
2440.0,399,41.10472
1250.0,95,41.12634
2120.0,55,41.143743
2250.0,148,41.173297
1060.0,170,41.203078
2010.0,24,41.217623
3680.0,270,41.515068
2320.0,197,41.548825
2060.0,107,41.57176
4710.0,238,41.608228
2250.0,114,41.631835
1100.0,156,41.659683
1120.0,106,41.682213
2230.0,140,41.7083
1020.0,38,41.724025
1000.0,38,41.740551
1080.0,32,41.755431
2150.0,110,41.78199
3360.0,106,41.804687
880.0,236,41.841412
2070.0,78,41.861417
3200.0,254,41.903199
2110.0,150,42.184803
2010.0,122,42.211091
960.0,274,42.251797
2120.0,75,42.271564
2110.0,82,42.294559
4400.0,315,42.338463
2220.0,165,42.36723
990.0,269,42.406789
1100.0,326,42.452543
3330.0,167,42.482072
2330.0,104,42.504916
2080.0,85,42.526383
2130.0,60,42.79928
2190.0,186,42.83416
2560.0,127,42.859937
940.0,142,42.886997
3490.0,165,42.916371
1020.0,86,42.937104
4470.0,392,42.988857
1040.0,92,43.010386
2220.0,87,43.030957
1130.0,99,43.053825
1160.0,106,43.076247
1100.0,40,43.092249
2200.0,53,43.109154
2070.0,244,43.145307
1060.0,60,43.162959
1010.0,43,43.181726
3430.0,161,43.472445
1120.0,72,43.493965
1070.0,143,43.520922
3620.0,302,43.563399
2110.0,54,43.580549
1090.0,39,43.597559
2000.0,25,43.613887
3520.0,178,43.648605
3140.0,46,43.666665
3240.0,414,43.721047
1210.0,121,43.746476
1000.0,302,43.790002
2330.0,176,43.820883
3150.0,139,44.107109
3750.0,159,44.137237
2400.0,65,44.156352
2370.0,230,44.192655
1140.0,78,44.212908
3370.0,149,44.243334
2140.0,135,44.268993
890.0,39,44.284669
4950.0,220,44.321941
1170.0,47,44.338654
1090.0,43,44.357608
2340.0,179,44.389161
2080.0,93,44.411977
2140.0,111,44.435916
1150.0,55,44.454887
3570.0,199,44.490274
1050.0,75,44.510439
2370.0,178,44.799061
2060.0,99,44.823384
1030.0,77,44.843843
1230.0,49,44.861153
2100.0,343,44.909996
2370.0,122,44.935728
2230.0,138,44.964159
-300.0,145,44.992183
1120.0,66,45.014642
2370.0,142,45.043579
2130.0,72,45.06711
4730.0,198,45.104973
3330.0,197,45.144154
1980.0,133,45.172112
1990.0,146,45.200113
2300.0,207,45.495387
2090.0,48,45.514945
880.0,80,45.535655
3070.0,81,45.556073
1100.0,46,45.573443
2010.0,114,45.599128
1110.0,41,45.615587
950.0,263,45.655515
3880.0,188,45.686276
1060.0,150,45.713442
1050.0,55,45.730659
2270.0,130,45.756812
3620.0,140,45.783485
1020.0,122,45.808756
2200.0,107,45.831754
2050.0,134,45.857745
1200.0,76,45.877298
3150.0,125,45.902186
1070.0,49,46.17243
